name;value_euro;wage_euro;height_cm;weight_kgs;age;nationality;overall_rating;positions;preferred_foot;club_team
A. Bolger;325000.0;1000.0;170.18;64.9;19;Republic of Ireland;59;CM,CDM;Right;Cardiff City
K. Yajima;230000.0;2000.0;185.42;78.0;23;Japan;59;ST;Right;FC Tokyo
Lee Tae Hee;130000.0;1000.0;182.88;74.8;26;Korea Republic;59;RB,CB;Right;Sangju Sangmu FC
Tellado;260000.0;1000.0;172.72;64.9;20;Spain;59;RB,LB;Right;Real Betis
H. Evjen;260000.0;1000.0;175.26;69.9;19;Norway;59;RW;Right;FK Bodø/Glimt
J. Lahne;300000.0;1000.0;170.18;68.0;17;Sweden;59;ST,RW;Right;IF Brommapojkarna
Song Long;120000.0;3000.0;154.94;72.1;29;China PR;59;RB,LB,CDM;Right;Shandong Luneng TaiShan FC
Cao Haiqing;160000.0;2000.0;175.26;68.9;25;China PR;59;LB,RB;Right;Jiangsu Suning FC
M. Kuchta;180000.0;1000.0;187.96;73.0;23;Poland;59;GK;Right;Zagłębie Lubin
V. Oliver;190000.0;2000.0;187.96;78.0;27;England;59;ST;Right;Morecambe
D. Kulikov;220000.0;1000.0;152.4;66.2;20;Russia;59;CDM;Right;Lokomotiv Moscow
M. Rieder;325000.0;1000.0;175.26;71.2;19;Netherlands;59;CAM,CM;Right;ADO Den Haag
Sun Bo;160000.0;2000.0;154.94;72.1;28;China PR;59;LM;Left;Dalian YiFang FC
F. Ourega;180000.0;1000.0;175.26;73.9;26;France;59;RW;Right;Paris FC
R. Tugarev;260000.0;1000.0;170.18;63.0;20;Russia;59;LM;Right;Lokomotiv Moscow
A. Rizzo;325000.0;1000.0;154.94;73.0;19;Italy;59;LM,RM,RB;Right;Palermo
R. Lowry;160000.0;1000.0;154.94;69.9;25;Australia;59;CB,RB;Left;Wellington Phoenix
H. Sandvik;130000.0;1000.0;182.88;74.8;29;Norway;59;GK;Right;FK Haugesund
Wang Qiuming;180000.0;2000.0;172.72;64.0;26;China PR;59;LM;Right;Hebei China Fortune FC
I. Boye;230000.0;1000.0;187.96;82.1;22;Nigeria;59;ST;Right;Örebro SK
N. Trott;280000.0;2000.0;182.88;69.9;20;England;59;GK;Left;West Ham United
L. Krüger;260000.0;3000.0;187.96;77.1;19;Germany;58;ST;Right;RB Leipzig
M. Berisha;280000.0;4000.0;185.42;78.9;20;Kosovo;58;CF,CAM,ST;Right;SCR Altach
A. Amade;230000.0;2000.0;170.18;63.0;19;Germany;58;RWB,RB,CDM;Right;TSG 1899 Hoffenheim
I. Meite;190000.0;1000.0;187.96;72.1;22;England;58;ST;Left;Crawley Town
M. Guehi;230000.0;4000.0;182.88;74.8;18;England;58;CB;Right;Chelsea
J. Pourtau;210000.0;1000.0;193.04;87.1;19;Argentina;58;GK;Right;Estudiantes de La Plata
Zheng Tao;70000.0;1000.0;182.88;74.8;33;China PR;58;RB;Right;Chongqing Dangdai Lifan FC SWM Team
J. Clarke;100000.0;2000.0;182.88;83.9;29;England;58;RB,CB;Right;Bristol Rovers
T. Reithmeir;240000.0;1000.0;190.5;87.1;19;Germany;58;CB;Right;1. FC Heidenheim 1846
N. Hunziker;180000.0;2000.0;154.94;74.8;23;Switzerland;58;ST;Right;FC Thun
R. Gondoh;180000.0;2000.0;182.88;74.8;21;England;58;RM,LM,LWB;Left;Colchester United
L. Jones;150000.0;1000.0;190.5;74.8;23;England;58;CB;Right;Plymouth Argyle
A. Gürleyen;250000.0;1000.0;193.04;89.8;19;Germany;58;CB;Right;1. FSV Mainz 05
G. Cuomo;250000.0;1000.0;190.5;78.9;21;Italy;58;CB;Right;Crotone
C. Mbulu;190000.0;1000.0;187.96;86.2;22;England;58;CB;Right;Motherwell
N. Sambo;130000.0;1000.0;187.96;89.8;23;Italy;58;GK;Right;Carpi
D. Cancola;180000.0;1000.0;182.88;73.0;22;Austria;58;CDM;Right;TSV Hartberg
M. Şatin;210000.0;1000.0;152.4;68.9;22;Austria;58;RM;Right;FC Wacker Innsbruck
Park Ji Min;210000.0;1000.0;187.96;86.2;18;Korea Republic;58;GK;Right;Suwon Samsung Bluewings
M. Al Subaie;190000.0;3000.0;182.88;68.0;23;Saudi Arabia;58;LM;Right;Ettifaq FC
K. Niemczycki;210000.0;1000.0;193.04;83.9;19;Poland;58;GK;Right;NAC Breda
K. Wallace;150000.0;1000.0;185.42;74.8;24;England;58;LB,CAM,LM;Left;Burton Albion
Vinícius Ferreira;200000.0;1000.0;154.94;74.8;20;Brazil;58;LM;Right;Cracovia
J. Hoekstra;170000.0;1000.0;190.5;74.8;20;Netherlands;58;GK;Right;FC Groningen
A. Zeka;270000.0;2000.0;193.04;78.0;20;Albania;58;RW,CM;Left;Fortuna Sittard
J. Obregón;280000.0;1000.0;175.26;72.1;21;Colombia;58;ST;Right;Jaguares de Córdoba
J. Muñoz;170000.0;1000.0;167.64;59.9;25;Colombia;58;CM;Right;Boyacá Chicó FC
J. Sands;230000.0;1000.0;154.94;73.0;18;United States;58;CDM;Right;New York City FC
N. Tsubaki;260000.0;1000.0;170.18;58.1;18;Japan;58;LM,CAM;Right;Yokohama F. Marinos
N. Balongo;240000.0;1000.0;187.96;74.8;19;DR Congo;58;ST;Right;Sint-Truidense VV
J. Albrecht;130000.0;1000.0;193.04;88.9;20;Germany;58;GK;Right;SV Wehen Wiesbaden
S. Mauritz-Hansen;180000.0;1000.0;182.88;78.0;24;Norway;58;ST;Right;Stabæk Fotball
A. Canessa;260000.0;1000.0;187.96;73.9;19;Italy;58;ST;Right;Livorno
R. Acquah;170000.0;1000.0;182.88;79.8;22;Ghana;58;CDM;Right;TSV Hartberg
M. Sprang;120000.0;1000.0;193.04;78.9;18;Germany;58;GK;Right;FSV Zwickau
A. Ba Saeed;160000.0;3000.0;172.72;68.0;25;Yemen;58;RM;Right;Al Faisaly
R. Wilmots;200000.0;1000.0;187.96;76.2;21;Belgium;58;CM,CAM;Right;Carpi
J. Herrera;180000.0;1000.0;152.4;73.9;23;Colombia;58;LM;Left;Alianza Petrolera
J. Rondeel;120000.0;1000.0;187.96;76.2;24;Netherlands;58;GK;Right;De Graafschap
F. Pizzicanella;140000.0;1000.0;182.88;83.9;22;Argentina;58;GK;Right;Atlético Tucumán
D. Lyon;170000.0;1000.0;185.42;76.2;23;Scotland;58;RWB,RB,CDM;Right;Peterborough United
J. Kelly;130000.0;1000.0;182.88;73.0;28;Republic of Ireland;58;LM,ST;Left;Bray Wanderers
J. Marazas;230000.0;1000.0;152.4;69.9;19;Lithuania;58;RM;Left;Wisła Płock
J. Tratt;150000.0;1000.0;190.5;84.8;24;Australia;58;RB,CB;Right;Sydney FC
M. Worthington;230000.0;1000.0;152.4;72.1;21;England;58;CM;Right;Yeovil Town
J. Þorsteinsson;270000.0;4000.0;152.4;73.0;20;Iceland;58;LW,LM,RM;Right;Vendsyssel FF
S. Kjellevold;140000.0;1000.0;185.42;69.9;24;Norway;58;GK;Right;Stabæk Fotball
W. Tchuameni;190000.0;2000.0;193.04;88.0;22;Cameroon;58;ST;Right;SønderjyskE
V. Arveladze;180000.0;1000.0;182.88;73.0;21;Georgia;58;ST;Right;Korona Kielce
J. Bird;190000.0;1000.0;152.4;62.1;21;England;58;CM;Right;Barnsley
Y. Otto;240000.0;1000.0;154.94;71.2;19;Germany;58;ST;Right;Eintracht Braunschweig
H. Bos;150000.0;1000.0;172.72;64.0;26;Netherlands;58;CM,CAM;Right;FC Emmen
Y. Bangsow;170000.0;1000.0;193.04;83.9;21;Germany;58;GK;Right;Eintracht Braunschweig
C. Villalba;180000.0;1000.0;175.26;71.2;20;Argentina;58;CM;Right;Club Atlético Talleres
M. Schlegel;210000.0;1000.0;185.42;74.8;22;Germany;58;LM,LB;Left;FC Carl Zeiss Jena
Li Shenglong;160000.0;2000.0;154.94;74.8;26;China PR;58;ST,RW;Right;Shanghai SIPG FC
V. Gendrey;180000.0;1000.0;152.4;74.8;18;France;58;RB;Right;Amiens SC
L. González;210000.0;1000.0;152.4;73.0;21;Argentina;58;ST;Right;San Martin de Tucumán
I. Diallo;180000.0;1000.0;152.4;73.9;22;Ivory Coast;58;LB;Left;AC Ajaccio
J. Mahon;240000.0;1000.0;185.42;82.1;19;Republic of Ireland;58;CB;Right;Sligo Rovers
B. Chapman;220000.0;1000.0;175.26;68.9;20;England;58;CM,RB;Right;Gillingham
G. Kilama;210000.0;1000.0;154.94;71.2;19;Cameroon;58;LB,CDM,CB;Left;Chamois Niortais Football Club
K. Schlotterbeck;170000.0;2000.0;187.96;83.9;21;Germany;58;CB;Left;SC Freiburg
A. Talal;180000.0;1000.0;175.26;68.0;22;Morocco;58;CDM;Left;US Orléans Loiret Football
M. Awaji;140000.0;3000.0;185.42;72.1;24;Saudi Arabia;58;GK;Right;Al Shabab
J. Italiano;280000.0;1000.0;170.18;64.9;17;Australia;58;LM;Right;Perth Glory
J. Rieckmann;230000.0;1000.0;154.94;76.2;18;Germany;58;CB,CDM;Right;SV Werder Bremen
M. McKee;220000.0;1000.0;152.4;73.0;20;Northern Ireland;58;CM;Right;Stevenage
S. Hiramatsu;160000.0;1000.0;182.88;77.1;26;Japan;58;ST,RM;Right;V-Varen Nagasaki
G. Kyrnats;160000.0;1000.0;187.96;78.9;20;Russia;58;GK;Right;PFC CSKA Moscow
M. Simakan;180000.0;1000.0;187.96;82.1;18;France;58;CB;Right;RC Strasbourg Alsace
A. Elyounoussi;240000.0;1000.0;152.4;68.0;19;Norway;58;LM,RM;Right;Sarpsborg 08 FF
K. Ellison;30000.0;1000.0;154.94;76.2;40;England;58;LM,ST;Left;Morecambe
J. Hastie;280000.0;1000.0;154.94;74.8;20;Scotland;58;LM;Left;Motherwell
N. Stendera;250000.0;2000.0;152.4;68.0;18;Germany;58;CM,CDM;Right;Eintracht Frankfurt
E. Gründemann;230000.0;1000.0;185.42;87.1;20;Germany;58;GK;Right;FC Hansa Rostock
S. Farelli;30000.0;1000.0;185.42;82.1;36;Italy;58;GK;Right;Pescara
E. Pauchet;150000.0;1000.0;182.88;68.0;21;France;58;GK;Right;Chamois Niortais Football Club
D. Petersson;120000.0;1000.0;185.42;77.1;24;Sweden;58;GK;Right;Trelleborgs FF
M. Meli;260000.0;4000.0;152.4;69.9;19;Italy;58;RW;Right;Fiorentina
M. Trovato;280000.0;1000.0;182.88;74.8;21;Italy;58;RW,CAM;Right;Cosenza
P. Marie;140000.0;1000.0;172.72;64.0;23;France;58;RB;Right;San Jose Earthquakes
C. Okoroji;170000.0;2000.0;152.4;72.1;21;England;58;LB,LWB;Left;SC Freiburg
Zhang Huachen;160000.0;2000.0;175.26;67.1;20;China PR;58;CDM;Right;Shanghai SIPG FC
Cao Ziheng;180000.0;2000.0;175.26;67.1;24;China PR;58;ST;Right;Changchun Yatai FC
K. Cabral;260000.0;1000.0;185.42;78.0;19;France;58;LM,LW,ST;Right;Valenciennes FC
M. Kumbulla;240000.0;1000.0;185.42;78.0;19;Albania;58;CB;Right;Hellas Verona
D. Liszka;190000.0;1000.0;175.26;78.0;19;Poland;58;LM,LB;Left;Górnik Zabrze
D. Nasu;20000.0;1000.0;154.94;77.1;37;Japan;58;CB;Right;Vissel Kobe
L. Nash;190000.0;1000.0;175.26;71.2;23;England;58;ST;Left;Cork City
Maikel;130000.0;1000.0;182.88;79.8;29;Spain;58;CAM;Right;IF Brommapojkarna
S. Bose;;;185.42;78.0;23;India;58;LB;Left;India
S. Takahashi;150000.0;1000.0;170.18;64.9;23;Japan;58;LB,RB,LM,RM;Right;Sanfrecce Hiroshima
A. Bakir;250000.0;3000.0;152.4;68.9;18;Germany;58;RM,LM,RW,LW;Right;Borussia Dortmund
R. Alm;170000.0;1000.0;175.26;69.9;23;Sweden;58;RW;Right;IF Brommapojkarna
A. Nadesan;170000.0;1000.0;187.96;69.9;24;England;58;ST,RW;Right;Fleetwood Town
F. Atuahene;210000.0;1000.0;175.26;77.1;22;Ghana;58;ST,CAM;Right;FC Dallas
M. Pattier;140000.0;1000.0;182.88;74.8;22;France;58;GK;Right;FC Lorient
J. Anthony;260000.0;4000.0;152.4;68.0;19;England;58;ST;Left;Bournemouth
Du Changjie;180000.0;2000.0;152.4;79.8;21;China PR;58;ST,CAM;Right;Henan Jianye FC
T. Maya;190000.0;1000.0;175.26;71.2;22;Colombia;58;LB;Left;Atlético Huila
M. Radecki;150000.0;1000.0;187.96;73.9;25;Poland;58;CM;Right;Śląsk Wrocław
Pablo Cacharrón;180000.0;1000.0;182.88;76.2;21;Spain;58;GK;Right;CD Lugo
T. Abraham;250000.0;4000.0;185.42;78.0;18;England;58;ST;Right;Fulham
Cao Yongjing;210000.0;2000.0;154.94;73.0;22;China PR;58;CAM,LM,RM;Right;Beijing Renhe FC
C. Mafoumbi;120000.0;1000.0;195.58;79.8;25;Congo;58;GK;Right;Blackpool
J. Lozano;140000.0;1000.0;182.88;78.9;25;Colombia;58;CB;Right;Jaguares de Córdoba
W. Ebane;120000.0;1000.0;154.94;79.8;26;Gabon;58;LB;Left;FC Lorient
D. Kelly;200000.0;1000.0;182.88;67.1;22;Republic of Ireland;58;RM;Right;Dundalk
J. Schau;170000.0;1000.0;152.4;74.8;20;Germany;58;CDM;Right;FC Carl Zeiss Jena
G. Smith;130000.0;2000.0;185.42;86.2;25;England;58;GK;Left;Lincoln City
T. Ostrak;260000.0;1000.0;175.26;74.8;19;Czech Republic;58;CM,CAM;Right;1. FC Köln
Y. Maeda;50000.0;1000.0;175.26;68.9;34;Japan;58;CDM,CM;Right;V-Varen Nagasaki
A. Nilsson;130000.0;1000.0;175.26;68.0;25;Sweden;58;LB,RB;Right;Trelleborgs FF
S. Steijn;250000.0;1000.0;172.72;60.8;17;Netherlands;58;CAM,CM;Right;VVV-Venlo
F. Quiroz;210000.0;1000.0;175.26;73.0;21;Chile;58;RW;Right;Club Deportes Temuco
D. Ogawa;140000.0;1000.0;172.72;73.0;27;Japan;58;LM,RM,RB;Right;Júbilo Iwata
Han Feng;50000.0;2000.0;187.96;68.9;35;China PR;58;GK;Right;Guangzhou R&F FC
M. Weigandt;230000.0;1000.0;175.26;69.9;19;Argentina;58;RB;Right;Boca Juniors
L. Schneider;240000.0;1000.0;182.88;77.1;18;Germany;58;CB,CDM;Right;FC Energie Cottbus
A. Muskwe;220000.0;4000.0;182.88;74.8;20;Zimbabwe;58;ST;Right;Leicester City
M. De Smet;260000.0;1000.0;154.94;63.0;18;Belgium;58;CAM;Right;SV Zulte-Waregem
S. Hostikka;200000.0;1000.0;182.88;72.1;21;Finland;58;LM;Right;Pogoń Szczecin
J. Zea;280000.0;1000.0;172.72;64.9;20;Colombia;58;ST;Right;Deportivo Cali
A. Kaltoft;200000.0;1000.0;193.04;78.0;20;Denmark;58;CB;Right;Vendsyssel FF
P. Sokołowski;150000.0;1000.0;154.94;73.0;24;Poland;58;CDM;Right;Piast Gliwice
M. Gillam;200000.0;1000.0;182.88;73.0;20;England;58;ST,CAM,LM;Right;Cork City
A. Curry;250000.0;3000.0;187.96;84.8;21;England;58;CB,LB;Left;Hull City
E. Kaja;200000.0;1000.0;152.4;78.0;21;Albania;58;CAM,RM;Right;AFC Wimbledon
A. Scheidler;210000.0;1000.0;193.04;89.8;20;France;58;ST;Right;US Orléans Loiret Football
S. Woods;200000.0;3000.0;185.42;77.1;20;England;57;CB;Right;Crystal Palace
D. Tejeda;170000.0;1000.0;154.94;69.9;20;Mexico;57;CM;Right;Tiburones Rojos de Veracruz
F. Godoy;210000.0;1000.0;185.42;78.9;18;Argentina;57;CB;Right;Unión de Santa Fe
T. Golden;160000.0;3000.0;175.26;64.9;19;England;57;RB;Right;Wigan Athletic
M. Guel;220000.0;1000.0;172.72;79.8;19;Ivory Coast;57;RW;Right;FC Lorient
D. Liessens;160000.0;1000.0;185.42;68.9;19;Belgium;57;CB;Left;Waasland-Beveren
Kim Chan;240000.0;1000.0;185.42;77.1;18;Korea Republic;57;ST;Right;Pohang Steelers
M. Häuser;210000.0;2000.0;182.88;71.2;19;Germany;57;LW,RW;Left;Eintracht Frankfurt
R. Paparelli;130000.0;2000.0;182.88;79.8;21;Argentina;57;CB;Right;Club Atlético Talleres
Wang Guoming;80000.0;2000.0;187.96;81.2;29;China PR;57;GK;Right;Henan Jianye FC
J. Quiñones;150000.0;1000.0;185.42;73.9;21;Colombia;57;CB;Right;Atlético Bucaramanga
E. Botheim;220000.0;1000.0;154.94;69.9;19;Norway;57;ST;Right;Rosenborg BK
M. Platt;150000.0;4000.0;187.96;81.2;21;England;57;CB;Right;Blackburn Rovers
M. Borgogno;180000.0;1000.0;187.96;73.9;20;Argentina;57;GK;Right;Vélez Sarsfield
M. Al Mutairi;220000.0;1000.0;167.64;60.8;19;Saudi Arabia;57;CAM;Left;Al Hazem
Y. Meneses;230000.0;1000.0;175.26;72.1;18;Colombia;57;CAM;Left;Envigado FC
G. Dorsey;160000.0;1000.0;182.88;73.0;20;United States;57;RM,RWB;Right;Toronto FC
K. Lara;200000.0;1000.0;182.88;74.8;19;Chile;57;LB,CB;Left;Curicó Unido
M. Ranmark;110000.0;1000.0;193.04;86.2;23;Norway;57;GK;Left;Molde FK
K. Lynch;110000.0;1000.0;185.42;76.2;26;Republic of Ireland;57;LB;Left;Waterford FC
F. Navarro;230000.0;1000.0;170.18;66.2;18;Argentina;57;CM;Right;Club Atlético Talleres
B. Stephens;160000.0;1000.0;172.72;59.9;21;England;57;CAM,ST;Right;Macclesfield Town
J. Doyle;130000.0;4000.0;152.4;64.0;22;England;57;LB,LM;Left;Blackburn Rovers
F. Mosquera;140000.0;1000.0;152.4;73.9;24;Colombia;57;CB,RB,CDM;Right;Jaguares de Córdoba
J. De Smet;130000.0;1000.0;185.42;84.8;20;Belgium;57;GK;Left;KV Kortrijk
Son Mu Bin;190000.0;1000.0;187.96;82.1;20;Korea Republic;57;GK;Right;Incheon United FC
C. Mosquera;100000.0;1000.0;193.04;89.8;24;Colombia;57;GK;Right;Atlético Huila
H. Spratt;160000.0;2000.0;152.4;74.8;19;England;57;LB,CB;Left;Huddersfield Town
J. Barrett;190000.0;2000.0;185.42;74.8;19;England;57;CB,RB;Right;Huddersfield Town
K. Stanek;170000.0;1000.0;185.42;77.1;19;Poland;57;ST;Right;Piast Gliwice
Y. Zabaleta;160000.0;1000.0;175.26;69.9;22;Colombia;57;LW,ST;Right;Itagüí Leones FC
M. Napa;220000.0;1000.0;167.64;64.9;19;England;57;RM;Right;Oxford United
J. Guttau;210000.0;1000.0;154.94;69.9;19;Germany;57;CAM;Right;Hallescher FC
G. Oakley;150000.0;1000.0;187.96;86.2;23;England;57;ST;Right;Hamilton Academical FC
N. Djouahra;210000.0;2000.0;172.72;66.2;19;France;57;CAM;Right;Real Sociedad
M. Al Haeti;120000.0;2000.0;187.96;74.8;22;Saudi Arabia;57;GK;Right;Ettifaq FC
L. Brüggemeier;120000.0;1000.0;193.04;83.0;21;Germany;57;GK;Right;SC Paderborn 07
J. Chávez;170000.0;1000.0;172.72;67.1;22;Mexico;57;RM;Right;Monarcas Morelia
R. Henry;30000.0;2000.0;154.94;73.9;35;England;57;RB,CB;Right;Stevenage
M. Trejo;170000.0;1000.0;154.94;71.2;20;Mexico;57;RB;Right;Monarcas Morelia
K. Odilon;210000.0;1000.0;187.96;79.8;18;Ivory Coast;57;CB;Right;Hammarby IF
Álvaro Gómez;180000.0;1000.0;154.94;74.8;21;Spain;57;CM,CAM;Right;Albacete BP
J. Hope;150000.0;1000.0;182.88;67.1;21;Australia;57;CM,CAM;Right;Melbourne Victory
K. Sugimori;200000.0;1000.0;172.72;62.1;21;Japan;57;LM,LW;Left;Nagoya Grampus
G. Comerford;110000.0;1000.0;154.94;79.8;25;Republic of Ireland;57;LB,CB,CM;Left;Cork City
G. Dowling;220000.0;3000.0;172.72;66.2;20;England;57;CM;Right;Bristol City
R. Wintle;170000.0;2000.0;154.94;64.0;21;England;57;CM,CDM;Right;Crewe Alexandra
T. Dele-Bashiru;210000.0;6000.0;152.4;68.0;19;England;57;CM;Right;Manchester City
P. Boevink;160000.0;1000.0;190.5;84.8;21;Netherlands;57;GK;Right;FC Groningen
S. Grønning;160000.0;1000.0;187.96;84.8;22;Denmark;57;ST;Right;Hobro IK
J. Brimmer;170000.0;1000.0;154.94;69.9;20;Australia;57;CM;Right;Perth Glory
J. Eastwood;120000.0;1000.0;190.5;69.9;22;England;57;GK;Right;Sheffield United
I. Tapia;200000.0;1000.0;185.42;72.1;20;Chile;57;CB,RB,LB;Right;CD Huachipato
M. Al Mutlaq;160000.0;3000.0;165.1;66.2;21;Saudi Arabia;57;RB;Right;Al Raed
Sun Jungang;140000.0;2000.0;175.26;69.9;23;China PR;57;RM;Right;Shanghai SIPG FC
L. John;120000.0;2000.0;190.5;84.8;24;England;57;CB;Right;Cambridge United
D. Kinumbe;200000.0;1000.0;175.26;62.1;19;Canada;57;LB,RB;Left;Montreal Impact
L. Martínez;200000.0;1000.0;175.26;77.1;19;Mexico;57;RB;Right;Club Tijuana
D. Tomii;70000.0;1000.0;182.88;73.9;29;Japan;57;GK;Right;Shonan Bellmare
J. Brauti;160000.0;1000.0;190.5;79.8;19;Norway;57;GK;Right;Stabæk Fotball
Y. Toure;230000.0;3000.0;185.42;74.8;18;Switzerland;57;ST,LW,RW;Right;Newcastle United
E. Sørhøy;140000.0;1000.0;182.88;78.9;24;Norway;57;LW;Left;Ranheim Fotball
J. Hallam;200000.0;1000.0;172.72;63.0;20;England;57;ST,CAM;Right;Scunthorpe United
Morro;170000.0;1000.0;193.04;78.0;18;Spain;57;GK;Left;Rayo Vallecano
M. Młyński;210000.0;1000.0;152.4;66.2;18;Poland;57;LM,CAM;Right;Arka Gdynia
S. Al Najrani;150000.0;3000.0;175.26;64.9;22;Saudi Arabia;57;RM;Right;Al Fateh
N. Kirk;200000.0;2000.0;154.94;69.9;21;Denmark;57;RB,CM;Right;Brentford
N. Simon;210000.0;1000.0;170.18;62.1;18;France;57;CM;Left;Racing Club de Lens
O. Solbakken;160000.0;1000.0;185.42;82.1;20;Norway;57;RW,LW;Left;Ranheim Fotball
R. de Vos;160000.0;1000.0;182.88;73.0;22;Netherlands;57;CM;Right;FC Emmen
Lee Gyu Seong;140000.0;1000.0;172.72;66.2;24;Korea Republic;57;CAM,CM;Right;Sangju Sangmu FC
Xiang Hantian;140000.0;2000.0;175.26;63.0;23;China PR;57;RM;Left;Beijing Renhe FC
N. Kariri;180000.0;3000.0;165.1;58.1;20;Saudi Arabia;57;RB,RM;Right;Al Fayha
B. Liddle;190000.0;3000.0;170.18;74.8;20;England;57;CM;Right;Forest Green Rovers
P. Kalambayi;190000.0;1000.0;182.88;69.9;19;England;57;CB;Right;AFC Wimbledon
M. Al Sufyani;220000.0;2000.0;172.72;64.0;20;Saudi Arabia;57;LM,CAM;Left;Al Wehda
T. Blackmon;140000.0;1000.0;185.42;81.2;22;United States;57;RB,CB;Right;Los Angeles FC
C. Yates;130000.0;1000.0;187.96;79.8;20;Scotland;57;GK;Right;Wycombe Wanderers
F. Zorba;140000.0;1000.0;185.42;77.1;21;Turkey;57;LB,CB;Left;VfL Osnabrück
D. Conroy;120000.0;2000.0;154.94;78.0;23;England;57;CB;Right;Swindon Town
R. Allassani;160000.0;1000.0;170.18;69.9;23;England;57;LM,CAM;Right;Coventry City
B. Hussein;230000.0;1000.0;175.26;69.9;18;Sweden;57;CM;Right;AIK
K. Digol;150000.0;1000.0;175.26;69.9;20;France;57;RB,RM;Right;ESTAC Troyes
T. Ryan;160000.0;1000.0;154.94;73.9;21;Republic of Ireland;57;GK;Right;Cork City
A. Molina;200000.0;1000.0;175.26;59.9;19;Mexico;57;LWB,LB;Left;Puebla FC
A. Bradley;220000.0;3000.0;152.4;64.0;20;England;57;RW,CM;Right;Burton Albion
A. Al Riou;110000.0;4000.0;167.64;69.9;24;Saudi Arabia;57;LB,CB;Left;Al Hazem
E. González;140000.0;1000.0;175.26;67.1;21;Mexico;57;RB;Right;Monarcas Morelia
D. Mercado;180000.0;2000.0;170.18;71.2;22;Argentina;57;CM;Right;Independiente
M. Lema;210000.0;1000.0;170.18;64.9;19;Austria;57;RM;Right;SK Sturm Graz
L. Kharabadze;190000.0;1000.0;182.88;78.9;19;Georgia;57;LB;Left;FC Zürich
J. Lankester;220000.0;1000.0;182.88;73.9;19;England;57;ST,RW;Left;Ipswich Town
K. Oldenburger;150000.0;1000.0;175.26;69.9;23;Netherlands;57;RM;Right;FC Emmen
D. Gillela;190000.0;3000.0;154.94;76.2;19;England;57;CB,CDM;Right;Bournemouth
T. Sibbick;160000.0;1000.0;182.88;68.9;19;England;57;CB,RB;Right;AFC Wimbledon
F. Langsdorf;150000.0;1000.0;152.4;74.8;23;United States;57;ST;Right;Portland Timbers
Kim Woo Suk;160000.0;1000.0;187.96;73.9;22;Korea Republic;57;CB,RB;Right;Daegu FC
A. Montero;230000.0;2000.0;182.88;74.8;20;Argentina;57;CM;Right;Vélez Sarsfield
H. Douglas;110000.0;1000.0;190.5;84.8;25;Republic of Ireland;57;CB,RB;Right;Bray Wanderers
J. Truque;180000.0;1000.0;152.4;67.1;19;Colombia;57;GK;Right;Once Caldas
A. Hindi;180000.0;3000.0;154.94;64.0;22;Saudi Arabia;57;CB;Left;Al Ahli
E. Mahmutovic;150000.0;4000.0;190.5;86.2;21;Luxembourg;57;CB,RB;Right;Middlesbrough
Cong Zhen;150000.0;2000.0;154.94;74.8;22;China PR;57;CM,CDM;Right;Shanghai Greenland Shenhua FC
D. Spence;180000.0;3000.0;182.88;71.2;18;England;57;RB;Right;Middlesbrough
F. Kaya;220000.0;2000.0;182.88;78.9;19;Turkey;57;ST;Right;FC Ingolstadt 04
H. Donovan;180000.0;2000.0;152.4;64.0;21;England;57;CM;Right;Millwall
B. Rivera;190000.0;1000.0;182.88;79.8;19;Chile;57;CDM;Right;CD Everton de Viña del Mar
C. Polo;210000.0;1000.0;152.4;73.0;21;Colombia;57;CDM;Right;Independiente Santa Fe
A. Thiam;140000.0;1000.0;175.26;64.0;20;Mauritania;57;CB,LB,CDM;Left;US Orléans Loiret Football
S. Ben Amar;190000.0;2000.0;185.42;76.2;21;Morocco;57;ST;Right;Nîmes Olympique
T. Abrahams;180000.0;2000.0;175.26;67.1;20;England;57;ST;Right;Yeovil Town
G. Gbellé;130000.0;1000.0;152.4;74.8;26;France;57;CM;Right;Paris FC
Xu Yougang;140000.0;2000.0;154.94;72.1;23;China PR;57;RB;Right;Shanghai Greenland Shenhua FC
G. Kımışır;120000.0;2000.0;152.4;58.1;21;Turkey;56;CB;Right;Antalyaspor
R. Caicedo;90000.0;1000.0;187.96;83.0;25;Colombia;56;GK;Right;Boyacá Chicó FC
O. Yilmaz;140000.0;2000.0;190.5;79.8;21;Austria;56;ST;Right;FC Wacker Innsbruck
H. Isted;120000.0;1000.0;185.42;73.9;22;England;56;GK;Right;Luton Town
D. Devine;140000.0;1000.0;154.94;76.2;21;England;56;CM;Right;Bradford City
A. Mikkelsen;180000.0;1000.0;165.1;64.9;18;Norway;56;LM,RM;Right;Tromsø IL
K. McAllister;190000.0;3000.0;175.26;74.8;20;Scotland;56;RM,LM;Left;St. Mirren
S. Amin;130000.0;1000.0;182.88;68.0;21;Syria;56;CM;Right;Örebro SK
N. Harker;160000.0;1000.0;190.5;83.0;20;England;56;GK;Left;Newcastle United
J. Khmiri;130000.0;1000.0;193.04;84.8;21;Tunisia;56;CB;Right;Vancouver Whitecaps FC
C. Lang;190000.0;3000.0;154.94;73.0;20;England;56;RM,ST,LM;Right;Oldham Athletic
R. Akbari;190000.0;1000.0;154.94;68.0;18;Australia;56;CAM,ST;Right;Melbourne Victory
J. Bedeau;170000.0;1000.0;182.88;78.0;19;England;56;CB;Left;Scunthorpe United
